id,results_title,results_first_aired,results_imdb_id,results_tvdb,results_themoviedb,results_artwork_208x117,results_artwork_304x171,results_artwork_448x252,results_artwork_608x342,bingeRank,createdAt,updatedAt
50,"The 100","2014-03-19 00:00:00",tt2661044,268592,48866,http://static-api.guidebox.com/091414/thumbnails_small/15817-3286543442-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_medium/15817-3398139919-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_large/15817-5828464203-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_xlarge/15817-874794033-608x342-show-thumbnail.jpg,NULL,NULL,NULL
51,"Star Trek: Picard","2020-01-23 00:00:00",tt8806524,364093,91509,http://static-api.guidebox.com/100117/thumbnails_small/55083-4501341102-208x117.jpg,http://static-api.guidebox.com/100117/thumbnails_medium/55083-1258466109-304x171.jpg,http://static-api.guidebox.com/100117/thumbnails_large/55083-4314339426-448x252.jpg,http://static-api.guidebox.com/100117/thumbnails_xlarge/55083-2946251361-608x342.jpg,NULL,NULL,NULL
52,"The Big Bang Theory","2007-09-24 00:00:00",tt0898266,80379,1418,http://static-api.guidebox.com/091414/thumbnails_small/950-3353062226-208x117-title-card.jpg,http://static-api.guidebox.com/091414/thumbnails_medium/950-9163916194-304x171-title-card.jpg,http://static-api.guidebox.com/091414/thumbnails_large/950-1696047434-448x252-title-card.jpg,http://static-api.guidebox.com/091414/thumbnails_xlarge/950-7502007535-608x342-title-card.jpg,NULL,NULL,NULL
53,Belgravia,"2020-04-12 00:00:00",tt9642982,362204,0,http://static-api.guidebox.com/100117/thumbnails_small/57686-8621850633-208x117.jpg,http://static-api.guidebox.com/100117/thumbnails_medium/57686-6963545391-304x171.jpg,http://static-api.guidebox.com/100117/thumbnails_large/57686-2907444383-448x252.jpg,http://static-api.guidebox.com/100117/thumbnails_xlarge/57686-2323204195-608x342.jpg,NULL,NULL,NULL
54,"True Detective","2014-01-12 00:00:00",tt2356777,270633,46648,http://static-api.guidebox.com/060515/thumbnails_small/17205-961613977-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/060515/thumbnails_medium/17205-6749306023-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/060515/thumbnails_large/17205-6491617258-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/060515/thumbnails_xlarge/17205-2367539276-608x342-show-thumbnail.jpg,NULL,NULL,NULL
55,"The Vampire Diaries","2009-09-10 00:00:00",tt1405406,95491,18165,http://static-api.guidebox.com/060515/thumbnails_small/137-9956356305-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/060515/thumbnails_medium/137-6253161197-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/060515/thumbnails_large/137-5186451897-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/060515/thumbnails_xlarge/137-1785443691-608x342-show-thumbnail.jpg,NULL,NULL,NULL
56,"American Horror Story","2011-10-05 00:00:00",tt1844624,250487,1413,http://static-api.guidebox.com/091414/thumbnails_small/621-5052943537-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_medium/621-5676654009-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_large/621-2614004077-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_xlarge/621-8840307733-608x342-show-thumbnail.jpg,NULL,NULL,NULL
57,"The Flash (2014)","2014-10-07 00:00:00",tt3107288,279121,60735,http://static-api.guidebox.com/022615/thumbnails_small/18768-8167085708-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/022615/thumbnails_medium/18768-8800775795-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/022615/thumbnails_large/18768-1038890509-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/022615/thumbnails_xlarge/18768-4101893287-608x342-show-thumbnail.jpg,NULL,NULL,NULL
58,"The Outsider","2020-01-13 00:00:00",tt8550800,365480,84661,http://static-api.guidebox.com/100117/thumbnails_small/57506-2149001826-208x117.jpg,http://static-api.guidebox.com/100117/thumbnails_medium/57506-3365358059-304x171.jpg,http://static-api.guidebox.com/100117/thumbnails_large/57506-8594950037-448x252.jpg,http://static-api.guidebox.com/100117/thumbnails_xlarge/57506-6573200137-608x342.jpg,NULL,NULL,NULL
59,Lost,"2004-09-22 00:00:00",tt0411008,73739,4607,http://static-api.guidebox.com/091414/thumbnails_small/446-1648447607-208x117-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_medium/446-6760667376-304x171-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_large/446-7883298648-448x252-show-thumbnail.jpg,http://static-api.guidebox.com/091414/thumbnails_xlarge/446-4117461555-608x342-show-thumbnail.jpg,NULL,NULL,NULL
60,Sherlock,"2010-07-25 00:00:00",tt1475582,176941,19885,http://static-api.guidebox.com/thumbnails_small/13424-7579897954-208x117.jpg,http://static-api.guidebox.com/thumbnails_medium/13424-4883420598-304x171.jpg,http://static-api.guidebox.com/thumbnails_large/13424-7134181298-448x252.jpg,http://static-api.guidebox.com/thumbnails_xlarge/13424-8520273198-608x342.jpg,NULL,NULL,NULL
